                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9183,                   2.05,                 1.5544,                0.65194,                0.49377,                0.54727,                0.27123,                  1.707,                 6.6546,                 1.3075,               0.070138,               0.003318,               0.003318
                      1,                 1.7024,                 1.3703,                 1.3275,                0.63721,                0.53294,                0.57279,                0.29634,                 1.6373,                  8.275,                 1.2371,               0.040094,              0.0066074,              0.0066074
                      2,                  1.689,                 1.3356,                 1.3166,                0.63889,                0.44331,                0.49416,                0.23598,                 1.9234,                 2.9996,                 1.3716,               0.010006,              0.0098528,              0.0098528
                      3,                 1.6905,                  1.316,                 1.3231,                0.65211,                0.50958,                0.57356,                0.28446,                 1.7293,                 11.046,                 1.2969,               0.009802,               0.009802,               0.009802
                      4,                 1.6477,                  1.243,                 1.3011,                0.68172,                0.56847,                 0.6289,                0.33031,                 1.6194,                 11.669,                 1.2505,               0.009802,               0.009802,               0.009802
                      5,                  1.616,                 1.1957,                 1.2845,                0.69482,                 0.5621,                0.63344,                0.33667,                 1.6672,                  3.956,                 1.2573,               0.009736,               0.009736,               0.009736
                      6,                 1.5937,                  1.162,                 1.2671,                0.66429,                0.54248,                0.60392,                0.31148,                 1.6721,                 16.641,                 1.2865,                0.00967,                0.00967,                0.00967
                      7,                 1.5672,                 1.1309,                 1.2556,                0.75411,                0.59161,                0.68767,                 0.3926,                 1.4913,                 1.8028,                 1.1678,               0.009604,               0.009604,               0.009604
                      8,                 1.5398,                  1.099,                 1.2429,                 0.7065,                0.58033,                0.66248,                0.36998,                 1.5489,                 10.517,                 1.2127,               0.009538,               0.009538,               0.009538
                      9,                 1.5264,                 1.0802,                 1.2343,                0.75852,                0.61148,                 0.7111,                0.40546,                 1.4923,                 2.2874,                 1.1634,               0.009472,               0.009472,               0.009472
                     10,                 1.5128,                 1.0645,                 1.2237,                0.75822,                0.62504,                0.71917,                0.41196,                 1.4321,                 3.3647,                 1.1399,               0.009406,               0.009406,               0.009406
