               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074609,             0.13027,                   0,             0.48508,             0.40404,             0.38774,             0.14219,            0.060268,             0.08665,                   0,            0.070088,           0.0033235,           0.0033235
                   1,            0.055247,             0.10878,                   0,             0.68451,             0.53919,             0.61046,             0.29428,            0.046367,            0.083829,                   0,            0.040045,           0.0066129,           0.0066129
                   2,            0.049596,             0.10491,                   0,               0.752,             0.57376,             0.66949,             0.31985,            0.045173,            0.080136,                   0,           0.0099566,           0.0098583,           0.0098583
                   3,            0.046359,             0.10123,                   0,             0.73945,             0.61116,             0.69554,             0.36478,            0.042473,            0.081235,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.043315,            0.097721,                   0,             0.70501,             0.62566,             0.67451,             0.36518,            0.041598,            0.080777,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.041503,            0.094216,                   0,             0.73523,              0.6211,             0.69413,             0.38177,            0.040808,            0.078331,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.040036,            0.090473,                   0,             0.75787,             0.62421,             0.70505,             0.39009,            0.040509,            0.078763,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.038823,            0.088022,                   0,             0.75427,             0.62986,              0.7056,             0.39509,            0.040256,            0.078632,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.037721,            0.087528,                   0,             0.74635,             0.63039,             0.70861,             0.40127,            0.039289,             0.07888,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.037605,            0.087428,                   0,             0.75449,             0.62351,             0.70549,             0.39548,            0.039948,            0.080046,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.036713,            0.085738,                   0,             0.74654,             0.64407,             0.71457,             0.40216,            0.039636,             0.08102,                   0,            0.009406,            0.009406,            0.009406
                  11,             0.03612,              0.0836,                   0,             0.76588,             0.64103,              0.7205,             0.41271,            0.039048,            0.080773,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.035682,            0.081399,                   0,             0.75387,             0.64023,             0.71397,             0.40201,            0.039723,             0.08187,                   0,            0.009274,            0.009274,            0.009274
                  13,             0.03537,            0.080724,                   0,             0.74024,             0.65443,             0.71709,             0.40485,            0.039443,            0.081695,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.034749,            0.080208,                   0,             0.76887,             0.63734,             0.71559,              0.4097,            0.039259,             0.08129,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.034351,            0.079488,                   0,             0.75057,             0.63523,             0.70087,             0.40093,            0.039704,              0.0832,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.033694,            0.078171,                   0,             0.77621,              0.6437,             0.72929,             0.42104,            0.038481,            0.081632,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.033626,            0.077047,                   0,             0.76175,             0.63388,             0.70943,             0.41003,            0.039267,            0.083762,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.033701,            0.076703,                   0,             0.76198,             0.63292,             0.71171,             0.40951,             0.03964,            0.083892,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.032735,            0.075467,                   0,               0.772,               0.642,             0.72248,             0.41763,            0.039297,            0.084089,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.033021,            0.075441,                   0,             0.74993,             0.64447,             0.70486,             0.40656,            0.039541,            0.083049,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.032421,            0.073896,                   0,             0.75865,              0.6435,             0.70957,             0.41046,             0.03946,              0.0851,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.031907,            0.073047,                   0,             0.74359,             0.64977,             0.71248,             0.40796,            0.039904,            0.084472,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.031604,            0.072522,                   0,             0.76469,             0.63811,             0.70647,             0.40821,            0.040281,            0.086109,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.031432,            0.073073,                   0,             0.76384,             0.63007,             0.70731,             0.41127,            0.040068,            0.085493,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.031302,            0.071755,                   0,             0.76392,             0.63845,             0.70631,             0.40936,            0.039683,            0.086288,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.030969,            0.070992,                   0,             0.77241,               0.635,             0.71348,             0.41565,            0.039879,            0.084372,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.031057,            0.070553,                   0,             0.76178,             0.64389,             0.71078,             0.41295,            0.040146,            0.085364,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.030494,            0.070437,                   0,             0.77438,             0.63715,             0.71233,             0.41352,            0.039811,            0.085758,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.030663,            0.069507,                   0,             0.78924,             0.63216,             0.71625,              0.4145,            0.039765,            0.086608,                   0,            0.008152,            0.008152,            0.008152
                  30,             0.03009,            0.069533,                   0,              0.7729,             0.63614,             0.71292,             0.41485,            0.039746,            0.087266,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.030006,            0.069119,                   0,             0.78497,             0.63908,             0.71665,             0.41888,            0.039419,            0.086967,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.029784,            0.068537,                   0,             0.76302,               0.652,             0.71254,             0.41304,            0.039944,            0.087963,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.029462,            0.067434,                   0,             0.77686,             0.63831,              0.7113,             0.41082,            0.040116,            0.088763,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.029412,            0.065795,                   0,             0.77891,             0.64216,             0.71751,             0.41849,            0.039732,            0.088225,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.028809,            0.065026,                   0,              0.7661,             0.64938,             0.71106,             0.41627,            0.040071,            0.090498,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.028828,            0.065465,                   0,             0.76402,             0.64628,             0.71259,             0.41504,            0.039546,            0.089764,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.028723,             0.06613,                   0,             0.76526,             0.64761,             0.71407,             0.41607,            0.039777,            0.091405,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.028578,            0.065712,                   0,             0.76328,             0.64928,             0.71457,             0.41541,             0.03951,            0.090075,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.028372,            0.064664,                   0,             0.75716,               0.647,             0.71029,             0.41369,             0.03977,            0.090629,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.028263,            0.063519,                   0,             0.74345,             0.65933,             0.71161,             0.41519,             0.03983,            0.093032,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.028255,            0.063719,                   0,             0.77332,             0.63764,             0.70621,             0.41265,            0.040113,            0.092112,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.027895,            0.063717,                   0,             0.75811,             0.64793,             0.70988,             0.41581,            0.039942,            0.093482,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.027194,            0.061974,                   0,             0.75584,             0.64889,             0.70797,             0.41417,            0.040029,            0.094666,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.027352,            0.060817,                   0,             0.77503,             0.64921,             0.71101,             0.41422,            0.040185,            0.095518,                   0,            0.007162,            0.007162,            0.007162
